job_title,publish,company_name,city,description,website
Trainee/Management Associate Risk & Data to the Chief Risk Officer (m/w/d),vor 1 Woche,Riverty GmbH,Verl,"Wir suchen Kolleg_innen, die Lust haben mitzugestalten und genau hinzuschauen - egal ob Berufseinsteigende, IT-Expert_innen, _innen, Sachbearbeiter_innen, Führungskräfte oder Quereinsteigende. Trainee/Management Associate Risk & to the Chief Risk Officer (m/w/d) * Du arbeitest eng mit icer und seinen Teams an der Umsetzung der Unternehmensstrategie, insbesondere mit dem Fokus auf Risk & Analytics Themen. * Du lernst unsere Geschäftsprozesse immer besser kennen, gemeinsam mit den Teams aus den verschiedenen Risk-Einheiten (Customer Risk, Risk Governance, & Analytics and Client Underwriting) arbeitest Du an deren Weiterentwicklung und Optimierung unserer Risk Unit, um unsere Business Units bestmöglichst zu unterstützen. * Du verfügst über ein überdurchschnittlich erfolgreich a",stepstone
Teamleiter (m/w/d) Data Services,vor 1 Woche,GOLDBECK GmbH,Bielefeld,"Fachliche Führung sowie Weiterentwicklung eines Data Service Teams * Verantwortung über die Weiterentwicklung der intern übergreifenden Datenstrategie und Governance im Kontext datengetriebener Analytics-Vorhaben im Business Intelligence und Science Umfeld * Mindestens 6 Jahre relevante Berufserfahrung, idealerweise in der Beratung mit den Schwerpunkten Datenstrategie, Governance, Management, Architecture oder Datenqualitätsmanagement",stepstone
Junior Konfigurationsmanager (m/w/d),vor 1 Woche,infoscore Business Support GmbH,"Baden-Baden, Verl","Wir suchen Kolleg_innen, die Lust haben mitzugestalten und genau hinzuschauen - egal ob Berufseinsteigende, IT-Expert_innen, _innen, Sachbearbeiter_innen, Führungskräfte oder Quereinsteigende. Dazu setzen wir auf passgenaue Gesamtpakete, agile Plattformen sowie den gezielten Einsatz von Robots, künstlicher Intelligenz und Big Analytics.",stepstone
Junior HR Manager (m/w/d),vor 1 Woche,BFS finance GmbH,Gütersloh,"Wir suchen Kolleg_innen, die Lust haben mitzugestalten und genau hinzuschauen - egal ob Berufseinsteigende, IT-Expert_innen, _innen, Sachbearbeiter_innen, Führungskräfte oder Quereinsteigende.",stepstone
Research Manager and Analyst (m/w/d) mit dem Schwerpunkt PLM und Shipbuilding,vor 5 Tagen,CONTACT Software GmbH,"Home-Office oder Bremen, Berlin, Paderborn, Duisburg, Köln, Frankfurt, Karlsruhe, Augsburg, München","Abschluss eines technischen Studiums im Fachbereich Maschinenbau, Wirtschaftswissenschaften, (Wirtschafts-) Informatik, Schiffbau oder in einem verwandten Studiengang mit den Schwerpunkten Produktentstehung, Digitalisierung und Product / Lifecycle Management (PDM/PLM)",stepstone
Business Analyst (m/w/d) Production,vor 3 Wochen,GOLDBECK GmbH,Bielefeld,"GOLDBECK GmbH * Bielefeld * Feste Anstellung * Vollzeit - GOLDBECK realisiert zukunftsweisende Immobilien in Europa. Wir verstehen Gebäude als Produkte und bieten alle Leistungen aus einer Hand: vom Design über den Bau bis zu Services im Betrieb. Aktuell beschäftigt unser Familienunternehmen mehr als 10.000 Mitarbeitende an über 100 Standorten bei einer Gesamtleistung von rund 5 Mrd. Euro. Unser Anspruch „building excellence“ steht dabei für Spitzenleistungen beim Planen, Bauen und Betreiben sowie die Weiterentwicklung unserer Talente – Zukunftsfähigkeit inklusive. Eine zukunftsorientierte Informationstechnologie stellt dabei eine wichtige Basis für unseren derzeitigen und künftigen Erfolg dar, weshalb modernste Hardware und Peripheriegeräte, eine aktuelle Entwicklungsumgebung sowie kurze Entscheidungswege für uns selbstverständlich sind. Aufgaben * Analyse von Geschä",stepstone
(Senior) Consultant Data Analytics – Public Sector und Energy Consulting (w/m/d),vor 4 Wochen,PwC,"Bielefeld, Düsseldorf, Frankfurt a. M., Hannover, Köln","Dein Studium hast du erfolgreich abgeschlossen und bringst erste Berufserfahrung in den Bereichen Reporting, Controlling und Analytics mit.",stepstone
Strategischer Einkäufer m|w|d Business Unit Professional,vor 1 Tag,Miele & Cie. KG,Bielefeld,"Miele & Cie. * Bielefeld * Feste Anstellung * Vollzeit - Über Miele - Wie wird man als Familienunternehmen Weltmarktführer im Premiumsegment für Hausgeräte und gefragter Partner für Lösungen in der Gewerbe- und Medizintechnik? Indem man den Anspruch hat, es immer besser zu machen und immer besser zu werden. Diese Haltung macht das Arbeiten bei Miele und den Erfolg unserer Produkte aus. Unsere etwa 22.000 Mitarbeitenden können sich darauf verlassen: Wer unser Qualitätsstreben lebt, der wächst persönlich und fachlich daran mit. Über den Bereich - Miele Professional konzentriert sich auf Systemlösungen für Gewerbeanwendungen. Diese innovativen Konzepte umfassen Produkte in den Bereichen gewerbliches Geschirrspülen, Wäschereitechnik, Labortechnik, Dental und Medizintechnik. Für unterschiedliche Anwendungsbereiche steht der Mehrwert für die Zielgruppen im Mittelpunkt der I",stepstone
(Senior) Data Engineer (m/f/d),vor 1 Tag,Arvato Infoscore GmbH,"Berlin, Baden-Baden, Verl","Our ambition is higher and now we have a great opportunity for a Data Engineer (m/f/d) to join our growing team. to create and manage BI and analytics solutions that turn data into knowledge using cutting-edge technology. In this role you will work extensively with data and data analysis in a variety of tools and methods. We expect you to be truly interested in data and love to work and wrangle with it. Ultimately, you will enhance our business intelligence solutions to help us make better decisions and become a more data driven company. * Semantic Power BI data modelling and dashboarding for requested initiatives. * Take lead in design and development of ETL solutions using Azure Data Factory, Databricks and other data tools. * Collaborate with international teams to integrate varieties of systems ultimately creating the 'Riverty data universe'.",stepstone
Enterprise Data Architect (m/f/d),vor 1 Woche,Arvato Infoscore GmbH,"Oslo, Berlin, Baden-Baden, Verl","In this role you will work extensively with data and data analysis in a variety of tools and methods. We expect you to be truly interested in and love to work and wrangle with it. Ultimately, you will enhance our business intelligence solutions to help us make better decisions and become a more driven company. * You design the architecture of our modern platform that enables BI, Science and Machine Learning. * You formulate techniques for quality collection to ensure adequacy, accuracy and legitimacy of * You create, improve and maintain our architectures to create and distribute complex datasets. * You make sure is separated, secured and meeting local as well",stepstone
Enterprise Data Architect (m/f/d),vor 1 Woche,Arvato Infoscore GmbH,"Berlin, Verl, Baden-Baden","You design the architecture of our modern data platform that enables BI, Data Science and Machine Learning. * You formulate techniques for quality collection to ensure adequacy, accuracy and legitimacy of * You create, improve and maintain our architectures to create and distribute complex datasets. * You make sure is separated, secured and meeting local as well as international security and privacy standards such as GDPR and other. * You define objects and attributes, definitions, and RASIC matrix for creation, access, change, sources of truth. * You create and enforce policies for effective management. * You ensure digital databases and",stepstone
Business Analyst (all genders) bAV,vor 5 Tagen,adesso SE,"Dortmund, Essen, Karlsruhe, Reutlingen, Düsseldorf, Bonn, Leipzig, Potsdam, Bremen, Paderborn","Als Business Analyst bist du ein wichtiger Bestandteil des Teams, unterstützt bei der Gestaltung einer Produktvision und erhebst Anforderungen.",stepstone
Junior Data Engineer (m/w/d),vor 5 Tagen,CTH Gesellschaft für Entscheidungs- und Informationssysteme mbH,Halle,"Zur Unterstützung unserer Bereiche Anwendungsberatung/-entwicklung und Systemanalyse/-entwicklung suchen wir Sie als motivierte(n), engagierte(n) Junior Engineer (m/w/d) * Realisierung von BI / Big Lösungen im Backend (Datenmodell, Struktur, ETL, Datenhaltung)",stepstone
Analyst Consultant (all genders) SAP SuccessFactors,vor 6 Tagen,adesso orange AG,"Dortmund, Oldenburg, Osnabrück,Paderborn,Potsdam,Reutlingen,Rostock,Saarbrücken Stralsund, Stuttgart",Dann bist du bei uns als Analyst Consultant (all genders) SAP SuccessFactors genau richtig und kannst dich auf eine steile Lernkurve freuen.,stepstone
(Senior) Consultant (m/w/d) SAP BI / SAP Analytics (SAC),vor 3 Wochen,Windhoff Group,"Berlin, Fürth, Frankfurt, Gescher, Gütersloh, Hamburg, München, Neu-Ulm, Stuttgart, Wolfsburg","Unsere Kunden sind hauptsächlich Großunternehmen und DAX-Konzerne und unser Service umfasst die Bereiche BI-Strategie, Reporting & Analyse, Planung & Budgeting sowie Warehousing.",stepstone
Materialdisponent Business Unit Professional m/w/d,vor 1 Woche,Miele & Cie. KG,Bielefeld,"Miele & Cie. * Bielefeld * Befristeter Vertrag * Vollzeit - Über Miele - Wie wird man als Familienunternehmen Weltmarktführer im Premiumsegment für Hausgeräte und gefragter Partner für Lösungen in der Gewerbe- und Medizintechnik? Indem man den Anspruch hat, es immer besser zu machen und immer besser zu werden. Diese Haltung macht das Arbeiten bei Miele und den Erfolg unserer Produkte aus. Unsere etwa 22.000 Mitarbeitenden können sich darauf verlassen: Wer unser Qualitätsstreben lebt, der wächst persönlich und fachlich daran mit. Über den Bereich - Miele Professional konzentriert sich auf Systemlösungen für Gewerbeanwendungen. Diese innovativen Konzepte umfassen Produkte in den Bereichen gewerbliches Geschirrspülen, Wäschereitechnik, Labortechnik, Dental und Medizintechnik. Für unterschiedliche Anwendungsbereiche steht der Mehrwert für die Zielgruppen im Mittelpunkt de",stepstone
Praktikant/Werkstudent Nachhaltigkeit Data Specialist (w/m/d),vor 1 Woche,PwC,"Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover","PwC * Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover * Praktikum,Studentenjobs, Werkstudent * Teilzeit,Vollzeit - Du hast Talent. Wir sind ein internationales Netzwerk aus 284.000 Mitarbeiter:innen, die ihr Wissen, ihre Erfahrungen und ihre Ideen miteinander teilen. Du suchst einen herausfordernden, spannenden Job. Wir bieten dir als weltweit führende Wirtschaftsprüfungs- und Beratungsgesellschaft ein Maximum an Möglichkeiten für einen Karriereweg nach deinen Vorstellungen. Du möchtest Verantwortung für deine Ergebnisse übernehmen, Lösungen gemeinsam mit dem Kunden entwickeln, die digitale Transformation in Deutschland vorantreiben und einen Arbeitgeber mit passenden Werten. Unser Denken und Handeln orientiert sich an Grundsätzen, die von Vertrauen, Respekt, Weitsicht, Wertschätzung und Innovation geprägt sind.",stepstone
Analyst Formular Consultant (all genders),vor 2 Wochen,adesso orange AG,"Dortmund, Hannover, Jena, Karlsruhe, Kiel, Köln, Leipzig, München, Nürnberg, Paderborn, Potsdam","adesso orange AG * Dortmund, Hannover, Jena, Karlsruhe, Kiel, Köln, Leipzig, München, Nürnberg, Paderborn, Potsdam * Feste Anstellung * Vollzeit - Die adesso orange AG ist Teil der adesso Group, ein börsennotiertes Beratungs- und IT-Dienstleistungsunternehmen mit rund 5.000 Mitarbeitenden. Die adesso orange AG ist im April 2021 aus einem Zusammenschluss der QUANTO AG mit der adesso Group entstanden. Als SAP® Gold-Partner bieten wie schnelle Verantwortungsübernahme und herausfordernde Aufgaben, wir arbeiten auf Augenhöhe und stärken uns gegenseitig. Wir lieben, was wir tun und entwickeln gemeinsam mit unseren Kunden zukunftsorientierte Lösungen. Unsere Leidenschaft sind technische und betriebswirtschaftliche Themen mit Schwerpunkt auf SAP® Lösungen und modernen Entwicklungstechnologien. Spätestens 2027 beendet SAP® den Support für sein Altsystem.",stepstone
SAP BW / HANA / Data Warehouse Cloud (Senior) Consultant (m/w/d),vor 3 Wochen,Windhoff Group,"Remote, Berlin, Fürth, Frankfurt, Gescher, Gütersloh, Hamburg, München, Neu-Ulm, Stuttgart,Wolfsburg","Unsere Kunden sind hauptsächlich Großunternehmen und DAX-Konzerne und unser Service umfasst die Bereiche BI-Strategie, Reporting & Analyse, Planung & Budgeting sowie Warehousing. * Sie begeistern sich für aktuelle Trends & Methoden, neueste Technologien wie BW/4, BTP, DWC oder Intelligence.",stepstone
Netzwerk- und Security-Administrator (m/w/d) - Network and Security Engineer - 100% Remote,vor 1 Woche,Ratbacher GmbH,Bielefeld,"Sein Data-Center-Team mit 35 Mitarbeiter:innen zeichnet sich durch Agilität (Scrum-Teams) aus. * Sie sind verantwortlich für den Aufbau, den Betrieb und die Wartung der Netzwerkstruktur im Center-Umfeld * Sie haben Erfahrungen im Bereich Center (SDN und ACI), sowie in der Administration von Firewall-Umgebungen (Checkpoint und Fortinet)",stepstone
Duales Studium Wirtschaftsinformatik (B.Sc.),vor 2 Wochen,IU Internationale Hochschule,"Augsburg, Berlin, Bielefeld, Braunschweig, Bremen, Dortmund, Dresden, Düsseldorf, Erfurt, Essen",Data Analytics * Business Analyst:in,stepstone
Manager/Teamlead (all genders) SAP FPSL,vor 5 Tagen,adesso orange AG,"Dortmund, Oldenburg,Osnabrück, Paderborn, Potsdam, Reutlingen, Rostock, Saarbrücken, Stralsund,",Innerhalb der Projekte arbeitest du mit den Kunden der Fach- und IT-Seite als auch mit den Businessanalysten und Entwickler:innen im Projekt zusammen. o Financial Services Platform / Financial Services Management,stepstone
Controller / Analyst (m/w/d),vor 3 Tagen,hachmeister + partner GmbH & Co. KG,"Bielefeld, Düsseldorf",Für unseren Bereich Benchmarking / Datenanalyse suchen wir ab sofort einen Controller / Analysten (m/w/d) an unserem Firmenstandort Bielefeld oder Düsseldorf,stepstone
Cyber Security Analyst (m/w/d),vor 3 Tagen,OEDIV Oetker Daten- und Informationsverarbeitung KG,"Bielefeld, Rostock, Augsburg, Oldenburg, Berlin, Frankfurt am Main","OEDIV Oetker Daten- und Informationsverarbeitung KG * Bielefeld, Rostock, Augsburg, Oldenburg, Berlin, Frankfurt am Main * Feste Anstellung * Home Office möglich,Vollzeit - OEDIV Oetker Daten- und Informationsverarbeitung KG ist der Premiumanbieter von Infrastrukturlösungen und Managed Services für den deutschen Mittelstand. Seit über 25 Jahren ist es das Ziel von OEDIV, Kunden mit großer technischer Expertise und hoher Flexibilität in allen IT-Themen zu unterstützen und zu beraten. Der Schwerpunkt liegt dabei vor allem auf Microsoft und SAP Technologien. Als Unternehmen der Oetker-Gruppe, die mit mehr als 36.000 Mitarbeitern und rund 7,3 Milliarden Euro Umsatz weltweit zu den großen europäischen Familienunternehmen gehört, steht OEDIV für verlässliche Werte: Langfristige Partnerschaft mit den Kunden, eine hohe Produkt- und Servicequalität sowie die Zusammenarbeit mit",stepstone
IT Business Analyst (m/w/d),vor 3 Tagen,GOLDBECK GmbH,Bielefeld,"GOLDBECK GmbH * Bielefeld * Feste Anstellung * Vollzeit - GOLDBECK realisiert zukunftsweisende Immobilien in Europa. Wir verstehen Gebäude als Produkte und bieten alle Leistungen aus einer Hand: vom Design über den Bau bis zu Services im Betrieb. Aktuell beschäftigt unser Familienunternehmen mehr als 10.000 Mitarbeitende an über 90 Standorten bei einer Gesamtleistung von 4,1 Mrd. Euro. Unser Anspruch „building excellence“ steht dabei für Spitzenleistungen beim Planen, Bauen und Betreiben sowie die Weiterentwicklung unserer Talente – Zukunftsfähigkeit inklusive. Eine zukunftsorientierte Informationstechnologie stellt dabei eine wichtige Basis für unseren derzeitigen und künftigen Erfolg dar, weshalb modernste Hardware und Peripheriegeräte, eine aktuelle Entwicklungsumgebung sowie kurze Entscheidungswege für uns selbstverständlich sind. IT Inhouse Consultant (m/w/d) Auf",stepstone
(Junior) Business Analyst (m/w/d) im E-Commerce,vor 3 Tagen,Reply,"Berlin, Bremen, Düsseldorf, Frankfurt, Gütersloh, Hamburg, München, remote",Als Business Analyst bist du von Anfang an in spannende SAP CX Projekte eingebunden und entwickelst zusammen mit deinen Teamkollegen moderne IT-Lösungen für unsere namenhaften Kunden,stepstone
Junior Supply Chain Analyst (m/w/d) in Teil- oder Vollzeit,vor 4 Tagen,KiK Textilien und Non-Food GmbH,"Bönen, Dortmund, Hamm, Unna, Soest, Oelde, Ascheberg","KiK Textilien und Non-Food GmbH * Bönen, Dortmund, Hamm, Unna, Soest, Oelde, Ascheberg * Feste Anstellung * Home Office möglich,Vollzeit - Wir – als Deutschlands führender Textildiscounter – haben uns mit unseren über 4000 Filialen europaweit in der Branche etabliert. Jedoch bleiben wir unserer Rolle als Discounter „um die Ecke“ treu. Die Organisation des Unternehmens wird aus der KiK-Europazentrale im nordrhein-westfälischen Bönen gesteuert. Hier sorgen mehr als 850 Mitarbeitende dafür, dass alles rund läuft. Wir sind auf der Suche nach Kolleginnen und Kollegen mit Herz, die uns bei der Verwirklichung unserer Ziele unterstützen. Überzeugen Sie uns mit Ihrer Persönlichkeit und werden Sie Teil der großen KiK-Familie. Aufgabenprofil – So sieht Ihr Alltag aus * Regelmäßige Erstellung von Standardberichten und Ad-hoc-Analysen",stepstone
Sachbearbeitung Kundenbetreuung Deutsch/Englisch für unser Data Management-Team (m/w/x),vor 5 Tagen,Arvato Supply Chain Solutions SE - Healthcare,Gütersloh,Dann bringe dich als Sachbearbeiter Kundenbetreuung Deutsch und Englisch (m/w/x) in unserem Data-Management-Team an unserem Standort in Gütersloh ein.,stepstone
Data Engineer (m/f/d),vor 3 Tagen,Arvato Infoscore GmbH,"Berlin, Baden-Baden, Verl","Our ambition is higher and now we have a great opportunity for a Data Engineer (m/f/d) to join our growing team. to create and manage BI and analytics solutions that turn into knowledge using cutting-edge technology. In this role you will work extensively with and analysis in a variety of tools and methods. We expect you to be truly interested in and love to work and wrangle with it. Ultimately, you will enhance our business intelligence solutions to help us make better decisions and become a more driven company. * Semantic Power BI modelling and dashboarding for requested initiatives. * Design and develop ETL solutions using Azure Factory, Databricks and other tools. * Collabor",stepstone
Financial Analyst (m/w/d) Key Account Management,vor 1 Woche,Arvato Systems GmbH,Bielefeld,Und daher suchen wir dich als Financial Analyst (m/w/d) Key Account Management für unseren Standort in Bielefeld.,stepstone
Pricing Analyst (m/w/d),vor 1 Woche,CLAAS Service and Parts GmbH,Harsewinkel,Für CLAAS Service and Parts GmbH am Standort Harsewinkel suchen wir Verstärkung als Pricing Analyst (m/w/d),stepstone
Smart Factory Key-User Data *,vor 1 Woche,Weidmüller Gruppe,Detmold,"Weidmüller Gruppe * Detmold * Feste Anstellung * Home Office möglich,Vollzeit - Weidmüller - Partner der Industrial Connectivity - Die Unternehmensgruppe Weidmüller verfügt über Produktionsstätten, Vertriebsgesellschaften und Vertretungen in mehr als 80 Ländern. Gemeinsam mit unseren Kunden gestalten wir den digitalen Wandel - mit Produkten, Lösungen und Dienstleistungen für die Smart Industrial Connectivity und das Industrial Internet of Things. Im Geschäftsjahr 2021 erzielte Weidmüller einen Umsatz von 960 Mio. Euro mit rund 5.300 Mitarbeitern. Ihre Aufgaben als Database Engineer * * Aufbau und Weiterentwicklung der Daten- und Applikationsplattformen * Design, Implementierung und Betriebe von Datenbankarchitekturen * Sicherstellen des Betriebs komplexer Systemlandschaften * Anforderungsaufnahme sowie Ermittlung der technischen Systemvoraussetzungen und Abhängigkeite",stepstone
SAP BW Data Engineer (m/w/d),vor 1 Woche,Stiegelmeyer GmbH & Co. KG,Herford,Zur Verstärkung unseres IT-Teams suchen wir zum nächstmöglichen Termin einen SAP BW Data Engineer (m/w/d).,stepstone
Cloud Data Engineer (m/w/d),vor 2 Wochen,GOLDBECK GmbH,Bielefeld,Aufbau und Erweiterung unseres cloud-basierten Datawarehouse und Data Lake * Mehrjährige Berufserfahrung als Entwickler:in oder Administrator:in eines Warehouse oder einer anderen Datenintegrationslösung * Sehr gute SQL-Kenntnisse sowie sicherer Umgang mit Azure Synapse / SQL und Factory,stepstone
Intern/ Working Student Data Science (f/m/d) Teilzeit/Vollzeit,vor 1 Woche,PwC,"Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover,",Multiplier for digitization – We are a data-driven business constantly sharing our knowledge on all digital topics. You want to apply your science skills to business use cases and take them to the next level.,stepstone
Praktikant/ Werkstudent Data Science Teilzeit/Vollzeit (w/m/d),vor 1 Woche,PwC,"Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt am Main, Hamburg, Hannover",Du möchtest deine Data Science Skills an Business Use Cases anwenden und stärker ausbauen.,stepstone
(Senior) Associate Data Validation Teilzeit/Vollzeit (w/m/d),vor 2 Wochen,PwC,"Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover,","PwC * Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover, * Feste Anstellung * Teilzeit,Vollzeit - Du hast Talent. Wir sind ein internationales Netzwerk aus 284.000 Mitarbeiter:innen, die ihr Wissen, ihre Erfahrungen und ihre Ideen miteinander teilen. Du suchst einen herausfordernden, spannenden Job. Wir bieten dir als weltweit führende Wirtschaftsprüfungs- und Beratungsgesellschaft ein Maximum an Möglichkeiten für einen Karriereweg nach deinen Vorstellungen. Du möchtest Verantwortung für deine Ergebnisse übernehmen, Lösungen gemeinsam mit dem Kunden entwickeln, die digitale Transformation in Deutschland vorantreiben und einen Arbeitgeber mit passenden Werten. Unser Denken und Handeln orientiert sich an Grundsätzen, die von Vertrauen, Respekt, Weitsicht, Wertschätzung und Innovation geprägt sind.",stepstone
Expert (all genders) Data Transformation,vor 2 Wochen,adesso orange AG,"Dortmund, Hannover, Jena, Karlsruhe, Kiel, Köln, Leipzig, München, Nürnberg, Paderborn, Potsdam","adesso orange AG * Dortmund, Hannover, Jena, Karlsruhe, Kiel, Köln, Leipzig, München, Nürnberg, Paderborn, Potsdam * Feste Anstellung * Vollzeit - Die adesso orange AG ist Teil der adesso Group, ein börsennotiertes Beratungs- und IT-Dienstleistungsunternehmen mit rund 5.000 Mitarbeitenden. Die adesso orange AG ist im April 2021 aus einem Zusammenschluss der QUANTO AG mit der adesso Group entstanden. Als SAP® Gold-Partner bieten wie schnelle Verantwortungsübernahme und herausfordernde Aufgaben, wir arbeiten auf Augenhöhe und stärken uns gegenseitig. Wir lieben, was wir tun und entwickeln gemeinsam mit unseren Kunden zukunftsorientierte Lösungen. Unsere Leidenschaft sind technische und betriebswirtschaftliche Themen mit Schwerpunkt auf SAP® Lösungen und modernen Entwicklungstechnologien. Spätestens 2027 beendet SAP® den Support für sein Altsystem.",stepstone
Praktikum / Abschlussarbeit Data Analytics,vor 3 Wochen,CLAAS E-Systems GmbH,Dissen am Teutoburger Wald,"Connectivity & Data Management, Process Automation und Steering, Precision Applications & Terminals – in diesen drei Schwerpunktthemen sind mehr als 200 Mitarbeiter:innen von CLAAS E-Systems zu Hause, um Landwirtschaft effizient zu gestalten. o Mining zur Informationsgewinnung über landwirtschaftliche Arbeitsprozesse - o Big (z. B. Hadoop)",stepstone
