job_title,publish,company,city,description,link,website
Trainee/Management Associate Risk & Data to the Chief Risk Officer (m/w/d),vor 2 Wochen,Riverty GmbH,Verl,"Wir suchen Kolleg_innen, die Lust haben mitzugestalten und genau hinzuschauen - egal ob Berufseinsteigende, IT-Expert_innen, Data _innen, Sachbearbeiter_innen, Führungskräfte oder Quereinsteigende. * Du lernst unsere Geschäftsprozesse immer besser kennen, gemeinsam mit den Teams aus den verschiedenen Risk-Einheiten (Customer Risk, Risk Governance, Data & Analytics and Client Underwriting) arbeitest Du an deren Weiterentwicklung und Optimierung unserer Risk Unit, um unsere Units bestmöglichst zu unterstützen.",https://www.stepstone.de/stellenangebote--Trainee-Management-Associate-Risk-Data-to-the-Chief-Risk-Officer-m-w-d-Verl-Riverty-GmbH--8596146-inline.html,stepstone
Quality Specialist (m/w/d) SQA OtD,vor 2 Tagen,HELLA Gruppe,Hamm,Zugleich deckt das Unternehmen mit seiner Business Group Lifecycle Solutions ein breites Service- und Produktportfolio für das Ersatzteil- und Werkstattgeschäft sowie für Hersteller von Spezialahrzeugen ab.,https://www.stepstone.de/stellenangebote--Quality-Specialist-m-w-d-SQA-OtD-Hamm-HELLA-Gruppe--8845157-inline.html,stepstone
Group Controller (m/w/d),vor 1 Woche,Amadeus FiRe AG,Gütersloh,Integration neuer Business Units in die Unternehmensgruppe,https://www.stepstone.de/stellenangebote--Group-Controller-m-w-d-Guetersloh-Amadeus-FiRe-AG--8817761-inline.html,stepstone
Controller / Business Analyst (w/d/m),vor 1 Woche,FIEGE Logistik Stiftung & Co. KG,"Münster, Homeoffice möglich",Das FIEGE eCommerce Solutions-Team sucht dich zum nächstmöglichen Zeitpunkt für die Business Unit Digital Services am Standort Münster.,https://www.stepstone.de/stellenangebote--Controller-Business-Analyst-w-d-m-Muenster-Homeoffice-moeglich-FIEGE-Logistik-Stiftung-Co-KG--8880122-inline.html,stepstone
Business Analyst Sales Excellence (m/w/d),vor 1 Woche,CompuGroup Medical SE & Co. KGaA,"Koblenz, Home-Office",for Success als Business Analyst Sales Excellence * Du stehst mit unseften in engem Austausch und unterstützt sie bei jeglicher Art von Auswertungen * Vorteilhaft sind erste Erfahrungen im -Controlling,https://www.stepstone.de/stellenangebote--Business-Analyst-Sales-Excellence-m-w-d-Koblenz-Home-Office-CompuGroup-Medical-SE-Co-KGaA--8824307-inline.html,stepstone
Business Analyst - Customer Journey Analytics (m/f/d),vor 2 Wochen,IU Internationale Hochschule,"Home-Office, bundesweit, Berlin, München","Join our team now in full time at one of our locations or 100% remote as Business Analyst - Customer Journey Analytics (m/f/d) . Be part of a growing - start your career at IU! * Train stakeholders to use your Power BI reports in their daily * You have at least two years of professional experience in analytics, website analytics, or controlling - ideally in a digital or startup company * A successfully completed degree in administration, economics, ( informatics, data science or a related field round out your profile",https://www.stepstone.de/stellenangebote--Business-Analyst-Customer-Journey-Analytics-m-f-d-Home-Office-bundesweit-Berlin-Muenchen-IU-Internationale-Hochschule--8859455-inline.html,stepstone
Junior Business Analyst (m/w/d),vor 1 Woche,Reply,Frankfurt am Main,Als Business Analyst unterstützt du unser Team in Polen und Frankfurt bei der Kommunikation mit unseren international agierenden Kunden aus der Automobil- und Luftfahrtindustrie * Als Junior begleitest du die Weiterentwicklung von CRM-Systemen in Cloud-Projekten wie z.B. der Oracle Cloud zu anderen Applikationen,https://www.stepstone.de/stellenangebote--Junior-Business-Analyst-m-w-d-Frankfurt-am-Main-Reply--8826834-inline.html,stepstone
Robotic Process Automation (RPA) Business Analyst (m/w/d) - bis zu 100 % remote,vor 2 Tagen,DZ PRIVATBANK S.A.,"Home-Office, Frankfurt am Main, Berlin, Düsseldorf, Hamburg, Hannover, München, Nürnberg, Stuttgart","An unseren Standorten Frankfurt am Main, Berlin, Düsseldorf, Hamburg, Hannover, München, Nürnberg, Stuttgart oder ortsunabhängig suchen wir zum nächstmöglichen Zeitpunkt einen Robotic Process Automation (RPA) (m/w/d) – bis zu 100 % remote * Identifikation, Evaluierung und -Analyse von RPA-fähigen Prozessen in Zusammenarbeit mit den Fachbereichen * Methodische Fähigkeiten im Bereich -Analyse, Anforderungsmanagement sowie Projektmanagement",https://www.stepstone.de/stellenangebote--Robotic-Process-Automation-RPA-Business-Analyst-m-w-d-bis-zu-100-remote-Home-Office-Frankfurt-am-Main-Berlin-Duesseldorf-Hamburg-Hannover-Muenchen-Nuernberg-Stuttgart-DZ-PRIVATBANK-S-A--8845124-inline.html,stepstone
(Junior/Senior) Business Analyst (w/m/d),vor 1 Woche,ALTER SOLUTIONS Deutschland GmbH,"Düsseldorf, Münster, München, Hamburg, Berlin, bundesweit ( Home-Office)","Als (Junior/Senior) Business Analyst analysierst, strukturierst und vertrittst Du fachliche Anforderungen und entwickelst gemeinsam mit den technischen Stakeholdern die richtigen Lösungsszenarien * Du besitzt fundiertes Know-how und Erfahrung in Requirements Engineering, -Analyse oder System-Analyse",https://www.stepstone.de/stellenangebote--Junior-Senior-Business-Analyst-w-m-d-Duesseldorf-Muenster-Muenchen-Hamburg-Berlin-bundesweit-Home-Office-ALTER-SOLUTIONS-Deutschland-GmbH--7821375-inline.html,stepstone
Business Process Analyst (m/w/d),vor 2 Wochen,MCL IT GmbH,bundesweit im Home-Office,"Als Business Process Analyst (m/w/d) harmonisierst und definierst du die Prozesse unserer Business Units * Dadurch zählen die Prozessabstimmung, -erfassung und -optimierung im Rahmen von Workshops mit unseren Units in deinen Verantwortungsbereich",https://www.stepstone.de/stellenangebote--Business-Process-Analyst-m-w-d-bundesweit-im-Home-Office-MCL-IT-GmbH--8801175-inline.html,stepstone
