job_title,publish,company_name,city,description,link,website
Head of Data Protection (m/w/d),vor 1 Woche,Telefónica Germany GmbH & Co. OHG,bundesweit,"Telefónica Germany GmbH & Co. OHG * bundesweit * Feste Anstellung * Home Office möglich,Vollzeit - Working anywhere. Nach erfolgreichem Bewerbungsprozess, hast Du die Möglichkeit deutschlandweit zu arbeiten. Du wirst entsprechend Deinem Wohnort, dem nächsten Telefónica Standort zugeordnet. Weitere Details besprechen wir mit Dir im Bewerbungsprozess. Wer wir sind? Wir sind o2/Telefónica – mit unseren Mobilfunkmarken verbinden wir Millionen von Menschen und bieten unseren Kund:innen mobile Freiheit in der digitalen Welt. Darüber hinaus gestalten wir als führender Telekommunikationsanbieter maßgeblich die Digitalisierung in Deutschland mit. Unsere Fest- und Mobilfunknetze bilden das Rückgrat für den digitalen Wandel von Wirtschaft und Gesellschaft. Und unsere rund 8.000 Mitarbeiter:innen hierzulande treiben die Transformation jeden Tag ein Stück voran – auch in unserem e",https://www.stepstone.de/stellenangebote--Head-of-Data-Protection-m-w-d-bundesweit-Telefonica-Germany-GmbH-Co-OHG--8802933-inline.html,stepstone
Lead Data Center & Cloud Infrastructure (all genders),vor 1 Woche,United Digital Group,"Ludwigsburg, Mainz, Home-Office, bundesweit","Lead Data Center & Cloud Infrastructure (all genders) * Du stellst sicher, dass die Prioritäten des Data Center Teams mit den Unternehmenszielen übereinstimmen * Du hast bereits Berufserfahrung im Bereich von IT-Infrastrukturen im Center und Azure Umfeld und kennst Dich mit dem Betreib von Serversystemen, Virtualisierungsumgebungen und Storagesystemen aus",https://www.stepstone.de/stellenangebote--Lead-Data-Center-Cloud-Infrastructure-all-genders-Ludwigsburg-Mainz-Home-Office-bundesweit-United-Digital-Group--8827148-inline.html,stepstone
Software Test Engineer (m/f/d),vor 4 Wochen,EXTEDO GmbH,"Home-Office, Ottobrunn",You create and maintain the necessary test data for our tests,https://www.stepstone.de/stellenangebote--Software-Test-Engineer-m-f-d-Home-Office-Ottobrunn-EXTEDO-GmbH--8600840-inline.html,stepstone
Security Operations Engineer (all genders),vor 4 Wochen,Orange Cyberdefense Germany GmbH,"deutschlandweit, Home-Office","Orange Cyberdefense Germany GmbH * deutschlandweit, Home-Office * Feste Anstellung * Home Office möglich,Teilzeit,Vollzeit - Über uns - Wir sind der führende Anbieter für Cybersecurity. Wir bieten unseren Kunden Consulting, Solutions und Managed Security Services. Speziell mit unseren Managed Detection & Response und Threat Intelligence Services helfen wir unseren Kunden Bedrohungen zu erkennen, Risiken zu identifizieren und auf Vorfälle angemessen zu reagieren. So schützen wir deren Informationswerte und IT-Ressourcen, und das rund um die Uhr (24x7 Continuous Service Delivery). Mit über 2.500 Mitarbeitern in weltweit 19 Ländern sind wir stets dort, wo unsere Kunden uns brauchen. Zur Verstärkung unseres SOC Teams suchen wir zum nächstmöglichen Zeitpunkt weitere Security Operations Engineers (all genders), die unsere Managed Security Services, über den Betrieb von ...",https://www.stepstone.de/stellenangebote--Security-Operations-Engineer-all-genders-deutschlandweit-Home-Office-Orange-Cyberdefense-Germany-GmbH--8190653-inline.html,stepstone
Senior Cloud Solution Architect - AWS/Azure (f/m/d),vor 1 Tag,NTT DATA Business Solutions AG,bundesweit,"NTT DATA Business Solutions AG - As part of the global NTT DATA Group, one of the world's most successful IT service providers, we are specialized in value-added SAP solutions as NTT Business Solutions. Get empowered by NTT Business Solutions!",https://www.stepstone.de/stellenangebote--Senior-Cloud-Solution-Architect-AWS-Azure-f-m-d-bundesweit-NTT-DATA-Business-Solutions-AG--8377349-inline.html,stepstone
(Senior) Manager - Forensische Datenanalyse (m/w/d),vor 2 Wochen,Grant Thornton AG Wirtschaftsprüfungsgesellschaft,"Berlin, Düsseldorf, Frankfurt am Main, München, Home-Office möglich","Datenanalyse einschließlich digitaler Forensik, Data Analytics und Konzepte wie Visualisierung, Automatisierung, Warehousing sowie den gekonnten Umgang mit Finanz- und Statistikdaten zu Ihren Erfahrungsbereichen zählen",https://www.stepstone.de/stellenangebote--Senior-Manager-Forensische-Datenanalyse-m-w-d-Berlin-Duesseldorf-Frankfurt-am-Main-Muenchen-Home-Office-moeglich-Grant-Thornton-AG-Wirtschaftspruefungsgesellschaft--8743853-inline.html,stepstone
Steuerfachangestellte/Steuerfachwirte : in Voll- und Teilzeitanstellung oder als Freelancer,vor 6 Tagen,Buhl Data Service GmbH,"ausschließlich im Home Office, bundesweit",Buhl Data Service GmbH,https://www.stepstone.de/stellenangebote--Steuerfachangestellte-Steuerfachwirte-in-Voll-und-Teilzeitanstellung-oder-als-Freelancer-ausschliesslich-im-Home-Office-bundesweit-Buhl-Data-Service-GmbH--8143268-inline.html,stepstone
Analytics Lead - Business intelligence,vor 1 Woche,SumUp Services GmbH,bundesweit,"An experienced leader from a data analyst / BI background, we need someone who is not only technical but can also understand fully how to be & develop the analysts * Build, develop, and grow analysts within the data intelligence team * Actively developing relationships with the larger data & insights community, especially with the data engineers across different parts of data flow. and identity ways to optimize the flow to help analysts globally - As a Analytics Lead, you will be part of the Data Intelligence team who focuses on steering SumUps overarching business strategy. This is a chance to work with senior leadership throughout the business to create impact globally and enable SumUppers to be even more data-informed! You'll have high visibility across all levels of the business, and a chance to drive our analytics strategy, data governance, and global reporting .",https://www.stepstone.de/stellenangebote--Analytics-Lead-Business-intelligence-bundesweit-SumUp-Services-GmbH--8068000-inline.html,stepstone
(Senior) Data Architekt w/m/d,vor 2 Wochen,Kienbaum Consultants International GmbH - Zentrale,deutschlandweit,Das Team „Data Science and Data Management“ verantwortet den gesamten Datenverarbeitungsprozess von der Datenerhebung bis hin zur Erstellung von digitalen Produkten.,https://www.stepstone.de/stellenangebote--Senior-Data-Architekt-w-m-d-deutschlandweit-Kienbaum-Consultants-International-GmbH-Zentrale--8738234-inline.html,stepstone
Solution Advisor / Solution Architect (w/m/d),vor 1 Woche,NTT DATA Business Solutions AG,bundesweit,"NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern.",https://www.stepstone.de/stellenangebote--Solution-Advisor-Solution-Architect-w-m-d-bundesweit-NTT-DATA-Business-Solutions-AG--8565061-inline.html,stepstone
Technical Hyperscaler Consultant - AWS / Azure (f/m/d),vor 1 Woche,NTT DATA Business Solutions AG,bundesweit,"NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern.",https://www.stepstone.de/stellenangebote--Technical-Hyperscaler-Consultant-AWS-Azure-f-m-d-bundesweit-NTT-DATA-Business-Solutions-AG--8045593-inline.html,stepstone
(Junior) Technical Consultant (m/w/x) - CX Contact Center Solutions,vor 1 Woche,NTT DATA Deutschland GmbH,verschiedene Standorte,"NTT DATA Deutschland GmbH - NTT DATA gehört zu den weltweit führenden Dienstleistern für Business- und IT-Lösungen. * Interne und externe Weiterbildungsmöglichkeiten in der NTT Academy mit fachlichen Trainings, Zertifizierungsangeboten, Soft-Skill-Schulungen, Udemy Zugang",https://www.stepstone.de/stellenangebote--Junior-Technical-Consultant-m-w-x-CX-Contact-Center-Solutions-verschiedene-Standorte-NTT-DATA-Deutschland-GmbH--8764708-inline.html,stepstone
