job_title,publish,company,city,description,link,website,date,search_title
Technical Customer Consultant (m/w/d),vor 1 Woche,OEDIV Oetker Daten- und Informationsverarbeitung KG,"Bielefeld, Rostock, Augsburg, Oldenburg, Berlin, Frankfurt am Main","Du verfügst über gute Kenntnisse in Cloud (primär Microsoft Azure) Der Schwerpunkt liegt dabei vor allem auf und SAP Technologien. * Du bringst fundierte Fachkenntnisse im Umfeld von oder SAP-Technologien sowie im Bereich IT-Infrastrukturtechnologien (Netzwerk, Server und Betriebssysteme), Security und Prozessen nach ITIL mit",https://www.stepstone.de/stellenangebote--Technical-Customer-Consultant-m-w-d-Bielefeld-Rostock-Augsburg-Oldenburg-Berlin-Frankfurt-am-Main-OEDIV-Oetker-Daten-und-Informationsverarbeitung-KG--8798818-inline.html,stepstone,2022-11-21,Microsoft_Azure
Senior / Professional Backend Developer (m/w/d) für Smart Building,vor 1 Tag,GOLDBECK GmbH,"Bielefeld, Köln","Erfahrung zu Cloud-Plattformen wie Azure, AWS und GCP",https://www.stepstone.de/stellenangebote--Senior-Professional-Backend-Developer-m-w-d-fuer-Smart-Building-Bielefeld-Koeln-GOLDBECK-GmbH--8125267-inline.html,stepstone,2022-11-21,Microsoft_Azure
SAP BTP Senior Consultant (m/w/d),vor 1 Woche,OEDIV Oetker Daten- und Informationsverarbeitung KG,"Bielefeld, Rostock, Augsburg, Oldenburg, Berlin, Frankfurt am Main","Du bringst gute Kenntnisse in Cloud, primär in Microsoft Azure und gute Kenntnisse in der Business Technology Platform mit - Der Schwerpunkt liegt dabei vor allem auf und SAP Technologien.",https://www.stepstone.de/stellenangebote--SAP-BTP-Senior-Consultant-m-w-d-Bielefeld-Rostock-Augsburg-Oldenburg-Berlin-Frankfurt-am-Main-OEDIV-Oetker-Daten-und-Informationsverarbeitung-KG--8798719-inline.html,stepstone,2022-11-21,Microsoft_Azure
Applikationsmanager (gn) Datawarehouse und BI,vor 2 Tagen,Westfalen Weser Netz GmbH,"Herford, Paderborn","Wünschenswert sind Erfahrungen mit z.B. Power BI, SAP BW, Jedox, Low Code Datenintegration/ETL/ESB (z.B. mit MS oder X4)",https://www.stepstone.de/stellenangebote--Applikationsmanager-gn-Datawarehouse-und-BI-Herford-Paderborn-Westfalen-Weser-Netz-GmbH--8578664-inline.html,stepstone,2022-11-21,Microsoft_Azure
Windows Server Administrator (m/w/d),vor 1 Woche,Arvato Systems GmbH,Gütersloh,,https://www.stepstone.de/stellenangebote--Windows-Server-Administrator-m-w-d-Guetersloh-Arvato-Systems-GmbH--8916908-inline.html,stepstone,2022-11-21,Microsoft_Azure
Systemadministrator (m/w/d) im Bereich Client Security,vor 2 Tagen,Arvato Systems GmbH,Rheda-Wiedenbrück,,https://www.stepstone.de/stellenangebote--Systemadministrator-m-w-d-im-Bereich-Client-Security-Rheda-Wiedenbrueck-Arvato-Systems-GmbH--8888956-inline.html,stepstone,2022-11-21,Microsoft_Azure
Smart Factory Key-User Data *,vor 1 Woche,Weidmüller Gruppe,Detmold,,https://www.stepstone.de/stellenangebote--Smart-Factory-Key-User-Data-Detmold-Weidmueller-Gruppe--8392500-inline.html,stepstone,2022-11-21,Microsoft_Azure
Technical IT Consultant - Modern Workplace (m/w/d),vor 1 Woche,OEDIV Oetker Daten- und Informationsverarbeitung KG,"Bielefeld, Rostock, Augsburg, Oldenburg, Berlin, Frankfurt am Main, Köln",,https://www.stepstone.de/stellenangebote--Technical-IT-Consultant-Modern-Workplace-m-w-d-Bielefeld-Rostock-Augsburg-Oldenburg-Berlin-Frankfurt-am-Main-Koeln-OEDIV-Oetker-Daten-und-Informationsverarbeitung-KG--8917275-inline.html,stepstone,2022-11-21,Microsoft_Azure
Windows Server Professional / Consultant (m/w/d),vor 1 Woche,Arvato Systems GmbH,Gütersloh,,https://www.stepstone.de/stellenangebote--Windows-Server-Professional-Consultant-m-w-d-Guetersloh-Arvato-Systems-GmbH--8916904-inline.html,stepstone,2022-11-21,Microsoft_Azure
Fachinformatiker (m/w/d),vor 3 Tagen,BeKom Datensysteme GmbH & Co. KG,Bad Salzuflen,,https://www.stepstone.de/stellenangebote--Fachinformatiker-m-w-d-Bad-Salzuflen-BeKom-Datensysteme-GmbH-Co-KG--8884221-inline.html,stepstone,2022-11-21,Microsoft_Azure
MS Dynamics 365 F&O Developer (m/w/d),vor 2 Wochen,Takko Fashion GmbH,Telgte,,https://www.stepstone.de/stellenangebote--MS-Dynamics-365-FO-Developer-m-w-d-Telgte-Takko-Fashion-GmbH--8894879-inline.html,stepstone,2022-11-21,Microsoft_Azure
Systemingenieur (m/w/d) Microsoft Windows Server,vor 1 Woche,Arvato Systems GmbH,Gütersloh,,https://www.stepstone.de/stellenangebote--Systemingenieur-m-w-d-Microsoft-Windows-Server-Guetersloh-Arvato-Systems-GmbH--8916912-inline.html,stepstone,2022-11-21,Microsoft_Azure
Cloud Engineer (m/w/d) im Bereich Validierung autonomer Fahrzeuge,vor 3 Wochen,dSPACE GmbH,"Paderborn, Böblingen (bei Stuttgart), Pfaffenhofen a. d. Ilm (bei München), Wolfsburg, Karlsruhe",,https://www.stepstone.de/stellenangebote--Cloud-Engineer-m-w-d-im-Bereich-Validierung-autonomer-Fahrzeuge-Paderborn-Boeblingen-bei-Stuttgart-Pfaffenhofen-a-d-Ilm-bei-Muenchen-Wolfsburg-Karlsruhe-dSPACE-GmbH--8758587-inline.html,stepstone,2022-11-21,Microsoft_Azure
(Junior) Software Developer – Inhouse (m/w/d),vor 3 Tagen,Energieversum GmbH & Co. KG,Gütersloh,,https://www.stepstone.de/stellenangebote--Junior-Software-Developer-Inhouse-m-w-d-Guetersloh-Energieversum-GmbH-Co-KG--8884800-inline.html,stepstone,2022-11-21,Microsoft_Azure
IT Governance Manager (m/f/d),vor 3 Tagen,Riverty GmbH,"Verl, Berlin",,https://www.stepstone.de/stellenangebote--IT-Governance-Manager-m-f-d-Verl-Berlin-Riverty-GmbH--8934748-inline.html,stepstone,2022-11-21,Microsoft_Azure
Frontend Entwickler Angular / React (m/w/d),vor 3 Tagen,Riverty Services GmbH,"Baden-Baden, Verl, Berlin",,https://www.stepstone.de/stellenangebote--Frontend-Entwickler-Angular-React-m-w-d-Baden-Baden-Verl-Berlin-Riverty-Services-GmbH--8673925-inline.html,stepstone,2022-11-21,Microsoft_Azure
IT-Systemadministrator (w/m/d) im First- und Second-Level-Bereich,vor 1 Woche,Energieversum GmbH & Co. KG,Gütersloh,,https://www.stepstone.de/stellenangebote--IT-Systemadministrator-w-m-d-im-First-und-Second-Level-Bereich-Guetersloh-Energieversum-GmbH-Co-KG--8866679-inline.html,stepstone,2022-11-21,Microsoft_Azure
IT Mitarbeiter (m/w/d) Systemadministration und Support,vor 4 Tagen,WEMAS Absperrtechnik GmbH,Gütersloh,,https://www.stepstone.de/stellenangebote--IT-Mitarbeiter-m-w-d-Systemadministration-und-Support-Guetersloh-WEMAS-Absperrtechnik-GmbH--8768812-inline.html,stepstone,2022-11-21,Microsoft_Azure
Data Governance Engineer (m/f/d),vor 1 Woche,Arvato Infoscore GmbH,"Berlin, Baden-Baden, Verl",,https://www.stepstone.de/stellenangebote--Data-Governance-Engineer-m-f-d-Berlin-Baden-Baden-Verl-Arvato-Infoscore-GmbH--8907114-inline.html,stepstone,2022-11-21,Microsoft_Azure
Java Developer im (Multi-) Cloud Umfeld (w/m/d),vor 1 Woche,NTT DATA Business Solutions AG,"Berlin, Bielefeld, Bautzen, Dresden, Hamburg, Heidelberg, Köln, München, Pforzheim, Stuttgart",,https://www.stepstone.de/stellenangebote--Java-Developer-im-Multi-Cloud-Umfeld-w-m-d-Berlin-Bielefeld-Bautzen-Dresden-Hamburg-Heidelberg-Koeln-Muenchen-Pforzheim-Stuttgart-NTT-DATA-Business-Solutions-AG--8093333-inline.html,stepstone,2022-11-21,Microsoft_Azure
Project Manager (m/w/d) Engineering,vor 4 Tagen,dSPACE GmbH,Paderborn,,https://www.stepstone.de/stellenangebote--Project-Manager-m-w-d-Engineering-Paderborn-dSPACE-GmbH--8919490-inline.html,stepstone,2022-11-21,Microsoft_Azure
IT-Security Specialist (m/w/d) Security Operator,vor 5 Tagen,GOLDBECK GmbH,Bielefeld,,https://www.stepstone.de/stellenangebote--IT-Security-Specialist-m-w-d-Security-Operator-Bielefeld-GOLDBECK-GmbH--8824002-inline.html,stepstone,2022-11-21,Microsoft_Azure
Service Owner (m/w/d) M365,vor 1 Woche,Nagel-Group Logistics SE,Versmold,,https://www.stepstone.de/stellenangebote--Service-Owner-m-w-d-M365-Versmold-Nagel-Group-Logistics-SE--8909486-inline.html,stepstone,2022-11-21,Microsoft_Azure
IT-Security Specialist (m/w/d) Incident Handling & Cloud Security,vor 5 Tagen,GOLDBECK GmbH,Bielefeld,,https://www.stepstone.de/stellenangebote--IT-Security-Specialist-m-w-d-Incident-Handling-Cloud-Security-Bielefeld-GOLDBECK-GmbH--8823663-inline.html,stepstone,2022-11-21,Microsoft_Azure
Java/TypeScript Entwickler (m/w/d) - Java Developer - 100 % Remote möglich,vor 1 Tag,Ratbacher GmbH,"Home-Office, Dortmund, Bielefeld, Mainz, Reutlingen",,https://www.stepstone.de/stellenangebote--Java-TypeScript-Entwickler-m-w-d-Java-Developer-100-Remote-moeglich-Home-Office-Dortmund-Bielefeld-Mainz-Reutlingen-Ratbacher-GmbH--8327819-inline.html,stepstone,2022-11-21,Microsoft_Azure
Java Developer / Product Data (m/w/d) | on-site oder mobile work,vor 6 Tagen,Arvato Systems Digital GmbH,Rheda-Wiedenbrück,,https://www.stepstone.de/stellenangebote--Java-Developer-Product-Data-m-w-d-on-site-oder-mobile-work-Rheda-Wiedenbrueck-Arvato-Systems-Digital-GmbH--8919032-inline.html,stepstone,2022-11-21,Microsoft_Azure
IT Infrastruktur Administrator Windows (m/w/d),vor 6 Tagen,Riverty Services GmbH,"Verl, Baden-Baden",,https://www.stepstone.de/stellenangebote--IT-Infrastruktur-Administrator-Windows-m-w-d-Verl-Baden-Baden-Riverty-Services-GmbH--8870952-inline.html,stepstone,2022-11-21,Microsoft_Azure
Frontend Developer * Software für das Konfigurationstool WMC,vor 6 Tagen,Weidmüller Gruppe,Lemgo,,https://www.stepstone.de/stellenangebote--Frontend-Developer-Software-fuer-das-Konfigurationstool-WMC-Lemgo-Weidmueller-Gruppe--8400124-inline.html,stepstone,2022-11-21,Microsoft_Azure
IT-Architekt als (Junior) Consultant / Berater (w/m/d) IT Strategie / Cloud Solutions,vor 1 Woche,KPMG AG Wirtschaftsprüfungsgesellschaft,"Hannover, Nürnberg, Mannheim, Bielefeld, Dresden, Bremen, Freiburg, Essen, Mainz, Karlsruhe, Ulm",,https://www.stepstone.de/stellenangebote--IT-Architekt-als-Junior-Consultant-Berater-w-m-d-IT-Strategie-Cloud-Solutions-Hannover-Nuernberg-Mannheim-Bielefeld-Dresden-Bremen-Freiburg-Essen-Mainz-Karlsruhe-Ulm-KPMG-AG-Wirtschaftspruefungsgesellschaft--8905435-inline.html,stepstone,2022-11-21,Microsoft_Azure
Ausbilder * Informatik,vor 2 Wochen,Weidmüller Gruppe,Paderborn,,https://www.stepstone.de/stellenangebote--Ausbilder-Informatik-Paderborn-Weidmueller-Gruppe--8893299-inline.html,stepstone,2022-11-21,Microsoft_Azure
SAP Basis Administrator (m/w/d),vor 1 Woche,Arvato Systems GmbH,"Gütersloh, Hamburg, Leipzig oder Dortmund",,https://www.stepstone.de/stellenangebote--SAP-Basis-Administrator-m-w-d-Guetersloh-Hamburg-Leipzig-oder-Dortmund-Arvato-Systems-GmbH--8867151-inline.html,stepstone,2022-11-21,Microsoft_Azure
Systemadministrator / IT System Engineer (m/w/d) Windows,vor 1 Woche,Amadeus FiRe AG,"Aachen, Berlin, Bielefeld, Bremen, Dortmund, Düsseldorf, Essen, Hamburg, Hannover, Köln, Münster",,https://www.stepstone.de/stellenangebote--Systemadministrator-IT-System-Engineer-m-w-d-Windows-Aachen-Berlin-Bielefeld-Bremen-Dortmund-Duesseldorf-Essen-Hamburg-Hannover-Koeln-Muenster-Amadeus-FiRe-AG--8805903-inline.html,stepstone,2022-11-21,Microsoft_Azure
Projektmanager - Microsoft Services (m/w/d),vor 1 Woche,OEDIV Oetker Daten- und Informationsverarbeitung KG,Bielefeld,,https://www.stepstone.de/stellenangebote--Projektmanager-Microsoft-Services-m-w-d-Bielefeld-OEDIV-Oetker-Daten-und-Informationsverarbeitung-KG--8911430-inline.html,stepstone,2022-11-21,Microsoft_Azure
IT Admin (m/w/d),vor 1 Woche,Triple A Internetshops GmbH,Bielefeld,,https://www.stepstone.de/stellenangebote--IT-Admin-m-w-d-Bielefeld-Triple-A-Internetshops-GmbH--8906326-inline.html,stepstone,2022-11-21,Microsoft_Azure
