,job_title,publish,company_name,city,Description
10,Enterprise Data Architect (m/f/d),vor 6 Tagen,Arvato Infoscore GmbH,"Berlin, Verl, Baden-Baden","You design the architecture of our modern data platform that enables BI, Data Science and Machine Learning. * You formulate techniques for quality collection to ensure adequacy, accuracy and legitimacy of * You create, improve and maintain our architectures to create and distribute complex datasets. * You make sure is separated, secured and meeting local as well as international security and privacy standards such as GDPR and other. * You define objects and attributes, definitions, and RASIC matrix for creation, access, change, sources of truth. * You create and enforce policies for effective management. * You ensure digital databases and"
11,Enterprise Data Architect (m/f/d),vor 4 Tagen,Arvato Infoscore GmbH,"Oslo, Berlin, Baden-Baden, Verl","In this role you will work extensively with data and data analysis in a variety of tools and methods. We expect you to be truly interested in and love to work and wrangle with it. Ultimately, you will enhance our business intelligence solutions to help us make better decisions and become a more driven company. * You design the architecture of our modern platform that enables BI, Science and Machine Learning. * You formulate techniques for quality collection to ensure adequacy, accuracy and legitimacy of * You create, improve and maintain our architectures to create and distribute complex datasets. * You make sure is separated, secured and meeting local as well"
12,ERP Specialist / Business Data Analyst (m/w/d),vor 1 Woche,DAYTON PROGRESS GmbH,"Hamburg, Köln, Bielefeld, Hannover, Berlin, Leipzig, Frankfurt am Main, Mannheim, München,",Aktuell sucht Dayton Progress einen ERP Specialist & Business Data Analyst (m/w/d).
13,Praktikant/Werkstudent Nachhaltigkeit Data Specialist (w/m/d),vor 1 Woche,PwC,"Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover","PwC * Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover * Praktikum,Studentenjobs, Werkstudent * Teilzeit,Vollzeit - Du hast Talent. Wir sind ein internationales Netzwerk aus 284.000 Mitarbeiter:innen, die ihr Wissen, ihre Erfahrungen und ihre Ideen miteinander teilen. Du suchst einen herausfordernden, spannenden Job. Wir bieten dir als weltweit führende Wirtschaftsprüfungs- und Beratungsgesellschaft ein Maximum an Möglichkeiten für einen Karriereweg nach deinen Vorstellungen. Du möchtest Verantwortung für deine Ergebnisse übernehmen, Lösungen gemeinsam mit dem Kunden entwickeln, die digitale Transformation in Deutschland vorantreiben und einen Arbeitgeber mit passenden Werten. Unser Denken und Handeln orientiert sich an Grundsätzen, die von Vertrauen, Respekt, Weitsicht, Wertschätzung und Innovation geprägt sind."
14,Analyst Formular Consultant (all genders),vor 2 Wochen,adesso orange AG,"Dortmund, Hannover, Jena, Karlsruhe, Kiel, Köln, Leipzig, München, Nürnberg, Paderborn, Potsdam","adesso orange AG * Dortmund, Hannover, Jena, Karlsruhe, Kiel, Köln, Leipzig, München, Nürnberg, Paderborn, Potsdam * Feste Anstellung * Vollzeit - Die adesso orange AG ist Teil der adesso Group, ein börsennotiertes Beratungs- und IT-Dienstleistungsunternehmen mit rund 5.000 Mitarbeitenden. Die adesso orange AG ist im April 2021 aus einem Zusammenschluss der QUANTO AG mit der adesso Group entstanden. Als SAP® Gold-Partner bieten wie schnelle Verantwortungsübernahme und herausfordernde Aufgaben, wir arbeiten auf Augenhöhe und stärken uns gegenseitig. Wir lieben, was wir tun und entwickeln gemeinsam mit unseren Kunden zukunftsorientierte Lösungen. Unsere Leidenschaft sind technische und betriebswirtschaftliche Themen mit Schwerpunkt auf SAP® Lösungen und modernen Entwicklungstechnologien. Spätestens 2027 beendet SAP® den Support für sein Altsystem."
15,(Senior) Data Engineer (m/f/d),vor 1 Woche,Arvato Infoscore GmbH,"Berlin, Baden-Baden, Verl","Our ambition is higher and now we have a great opportunity for a Data Engineer (m/f/d) to join our growing team. to create and manage BI and analytics solutions that turn data into knowledge using cutting-edge technology. In this role you will work extensively with data and data analysis in a variety of tools and methods. We expect you to be truly interested in data and love to work and wrangle with it. Ultimately, you will enhance our business intelligence solutions to help us make better decisions and become a more data driven company. * Semantic Power BI data modelling and dashboarding for requested initiatives. * Take lead in design and development of ETL solutions using Azure Data Factory, Databricks and other data tools. * Collaborate with international teams to integrate varieties of systems ultimately creating the 'Riverty data universe'."
16,Senior Data Engineer - Language Data (w/m/d),vor 2 Wochen,DeepL SE,"Köln, Paderborn, bundesweit (Homeoffice)",Dafür brauchen wir Deine Unterstützung als Senior Data Engineer - Language Data (w/m/d)
17,(Senior) Consultant (m/w/d) SAP BI / SAP Analytics (SAC),vor 3 Wochen,Windhoff Group,"Berlin, Fürth, Frankfurt, Gescher, Gütersloh, Hamburg, München, Neu-Ulm, Stuttgart, Wolfsburg","Unsere Kunden sind hauptsächlich Großunternehmen und DAX-Konzerne und unser Service umfasst die Bereiche BI-Strategie, Reporting & Analyse, Planung & Budgeting sowie Warehousing."
18,(Senior) Consultant Data Analytics – Public Sector und Energy Consulting (w/m/d),vor 3 Wochen,PwC,"Bielefeld, Düsseldorf, Frankfurt a. M., Hannover, Köln","Dein Studium hast du erfolgreich abgeschlossen und bringst erste Berufserfahrung in den Bereichen Reporting, Controlling und Analytics mit."
19,Machine Learning Engineer (m/w/d),vor 1 Woche,dSPACE GmbH,"Paderborn, Böblingen (bei Stuttgart), Pfaffenhofen a. d. Ilm (bei München), Wolfsburg, Karlsruhe","dSPACE GmbH * Paderborn, Böblingen (bei Stuttgart), Pfaffenhofen a. d. Ilm (bei München), Wolfsburg, Karlsruhe * Feste Anstellung * Vollzeit - About us - Jeden Tag nutzen Menschen auf der ganzen Welt Verkehrsmittel, die mit dSPACE Lösungen entwickelt, getestet und validiert wurden. Sie können darauf vertrauen, dass der Antrieb ihres Fahrzeugs energieeffizient ist, dass intelligente Assistenzsysteme das Fahren komfortabler machen und dass das Flugzeug, in dem sie sich befinden, sicher an sein Ziel geführt wird. Schon heute arbeiten weltweit über 2000 Mitarbeiterinnen und Mitarbeiter gemeinsam mit führenden daran, die Vision des autonomen Fahrens Wirklichkeit werden zu lassen. Wir gestalten die Mobilität der Zukunft - gestalten Sie mit! Standort: Paderborn , Böblingen (bei Stuttgart) , Pfaffenhofen a. d. Ilm (bei München) , Wolfsburg , Karlsruhe"
